Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Cobalt concentration (weight%),Tungsten concentration (weight%),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Tin concentration (ppm),Arsenic concentration (ppm),Antimony concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),50 % FATT,Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),Martensite (%),Ferrite with carbide aggregate (%),Weld ID
0.074,0.32,1.42,0.008,0.007,N,N,N,N,0.19,N,N,380.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,0.0,0.0,488.0,566.0,28.2,77.0,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990-0.4aw
0.074,0.32,1.42,0.008,0.007,N,N,N,N,0.19,N,N,380.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,580.0,2.0,453.0,549.0,31.2,78.8,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990-0.4ht
0.076,0.33,1.48,0.007,0.006,N,N,N,N,0.35,N,N,400.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,0.0,0.0,504.0,586.0,27.6,77.0,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990-0.8aw
0.076,0.33,1.48,0.007,0.006,N,N,N,N,0.35,N,N,400.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,580.0,2.0,482.0,572.0,28.2,77.9,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990-0.8ht
0.068,0.32,1.49,0.006,0.006,N,N,N,N,0.66,N,N,390.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,0.0,0.0,513.0,593.0,28.6,77.0,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990-1.6aw
0.068,0.32,1.49,0.006,0.006,N,N,N,N,0.66,N,N,390.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,580.0,2.0,499.0,607.0,28.6,74.0,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990-1.6ht
0.076,0.36,1.49,0.006,0.006,N,N,N,N,1.4,N,N,410.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,0.0,0.0,568.0,647.0,27.4,73.0,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990-3.2aw
0.076,0.36,1.49,0.006,0.006,N,N,N,N,1.4,N,N,410.0,40.0,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,150.0,MMA,580.0,2.0,583.0,673.0,24.2,73.0,N,N,N,N,N,N,N,N,N,Es-Souni&-Cu/CMn-1990-3.2ht
0.074,0.29,1.49,0.006,0.013,N,N,N,N,N,N,N,471.0,5.0,72.0,6.0,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,431.0,527.0,29.6,78.0,N,N,N,N,N,N,N,N,N,Evans-AlTi-1994-5/6ht
0.074,0.29,1.49,0.006,0.013,N,N,N,N,N,N,N,471.0,5.0,72.0,6.0,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-41,28.0,N,N,N,N,N,N,N,Evans-AlTi-1994-5/6awch1
