Carbon concentration (ppm),Silicon concentration (ppm),Manganese concentration (ppm),Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Sulphur concentration (ppm),Phosphorus concentration (ppm),Oxygen concentration (ppm),Nitrogen concentration (ppm),Current (A),Voltage (V),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),AC or DC,Electrode positive or negative,Nickel concentration (ppm),Chromium concentration (ppm),Molybdenum concentration (ppm),Vanadium concentration (ppm),Copper concentration (ppm),Titanium concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
0.24,0.5111111111111112,0.595744680851064,0.1052631578947368,0.0,0,0.3125,0.0975609756097561,0.7146892655367232,0.2456896551724138,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.6340783472899818,0.3980104088681314,0.4052270198710663,0.4222876804532958,0.2246119465521046,0.398491562594841,0.3157642677225667,0.7874141490538022,0.5851843744835847,0.389641856814907,0.3968930391654132,0.645286497321431,0.5520299339379995,0.6042258105711652,0.6903132797536515
0.78,0.5111111111111112,0.6099290780141843,0.1052631578947368,0.0,0,0.3125,0.073170731707317,0.7146892655367232,0.2456896551724138,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.3813915693718364,0.2982101505840073,0.4724772311345836,0.6073408963538222,0.4090712786131998,0.5834203951460446,0.5736083495799558,0.5780767554788326,0.4963518386499665,0.4638700044618176,0.5202368735562304,0.552969548517593,0.3899005300666367,0.8192918836361128,0.6430865110626441
0.3066666666666666,0.3111111111111111,0.595744680851064,0.1052631578947368,0.0,0,0.3125,0.048780487804878,0.6807909604519773,0.2672413793103448,0.0,0.0,0.0,0.0,0.0,1.0,0.2489011848205569,0.3381696842119508,0.61962878710102,0.5944420355911673,0.5270059863140427,0.2738689238323677,0.4027084201679213,0.503464068401172,0.3439267680389002,0.5707436800119394,0.5183683518473379,0.3409526283962052,0.4856737169918772,0.4160429966393359,0.4097307128247254
0.3133333333333333,0.4,0.3404255319148936,0.1052631578947368,0.0,0,0.375,0.073170731707317,0.8418079096045197,0.2672413793103448,0.0,0.0,0.0,0.0,0.0,1.0,0.6467033533733542,0.2799999345587196,0.3292186383664091,0.3685044509622911,0.3131593345090462,0.2330124438433961,0.4027084201679213,0.503464068401172,0.3439267680389002,0.588198160782138,0.5418295284327439,0.4317511630121923,0.433216155008806,0.4106663448127122,0.4097307128247254
0.32,0.7111111111111112,0.5602836879432624,0.1052631578947368,0.0,0,0.1875,0.0975609756097561,0.7485875706214689,0.1336206896551724,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.7003833841203048,0.266569491910249,0.1381152306323034,0.3685044509622911,0.4720499376301076,0.2868687129197678,0.6632660598209205,0.503464068401172,0.3439267680389002,0.3307712569570122,0.3790601956390299,0.6404277105422815,0.584455814712272,0.2278601827075067,0.2097114571922235
0.2933333333333333,0.5333333333333334,0.0780141843971631,0.1052631578947368,0.0,0,0.375,0.024390243902439,0.7514124293785311,0.2327586206896552,0.0,0.0,0.3289473684210526,0.5833333333333333,0.0,1.0,0.6344118944027051,0.1968557279044371,0.5008498465347941,0.5029373138164723,0.2432364261170626,0.2775831492859106,0.4027084201679213,0.503464068401172,0.3439267680389002,0.431875113234701,0.4087816015163353,0.5092404675052487,0.5390595816282904,0.1871289567586757,0.2286969157812391
0.3,0.488888888888889,0.3546099290780142,0.1052631578947368,0.0,0,0.3125,0.048780487804878,0.7090395480225988,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.4581053024378656,0.3145764318645467,0.3141875298475972,0.3685044509622911,0.3329457325362802,0.2887258256465392,0.4027084201679213,0.503464068401172,1.0,0.5392968609250619,0.4687306576752299,0.746589357829949,0.6360559290301877,0.7870319726763707,0.4097307128247254
0.3400000000000001,0.3777777777777779,0.6453900709219859,0.1052631578947368,0.0,0,0.25,0.2195121951219512,0.8333333333333333,0.1422413793103448,0.0,0.0,0.0,0.0,0.0,1.0,0.3917926113554393,0.3757841041663452,0.3341627374084563,0.4270051510641449,0.2628340857132846,0.2292982183898532,0.445486540110951,0.7716099241401935,0.4070052417245766,0.6200586491779327,0.5728657797706276,0.3838845632940438,0.7227554102532845,0.6311090697042836,0.4097307128247254
0.3066666666666666,0.488888888888889,0.3475177304964539,0.1052631578947368,0.0,0,0.3125,0.073170731707317,0.7344632768361581,0.2327586206896552,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.5581853875045039,0.3187612390444252,0.2780286224849693,0.4159513437343551,0.216965593122274,0.2887258256465392,0.4027084201679213,0.503464068401172,0.3439267680389002,0.3627661481841289,0.3597412818187815,0.6112749898673854,0.584455814712272,0.3515231747198516,0.4097307128247254
0.1,0.3777777777777779,0.9290780141843972,0.1052631578947368,0.0,0,0.1875,0.0975609756097561,0.7146892655367232,0.2456896551724138,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.3596784993842167,0.3537623314481555,0.6138855269890863,0.3678026322727725,0.376070672964846,0.4067059863067694,0.6741476376533557,0.542314984191762,0.4396787942435937,0.3755641046749756,0.3746019847574342,0.6112749898673854,0.6168816954865446,0.4429262557724543,0.4569574815157327
