AC or DC,Aluminium concentration (%),Boron concentration (%),Carbon concentration (weight%),Chromium concentration (weight%),Copper concentration (weight%),Current (A),Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Manganese concentration (weight%),Molybdenum concentration (weight%),Nickel concentration (weight%),Niobium concentration (%),Nitrogen concentration (%),Oxygen concentration (%),Phosphorus concentration (weight%),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Silicon concentration (weight%),Sulphur concentration (weight%),Titanium concentration (%),Type of weld,Vanadium concentration (weight%),Voltage (V),cluster
0.0,0.015,0.0004104076067133,0.076,2.051417543783566,0.0830941423361074,170.0,1.0,1.0,200.0,1.36,0.4602504732110111,0.2128340265879234,2.6938970930390563e-05,0.0057,0.0476,0.011,250.0,14.0,0.34,0.005,0.0005,0.0,0.085790577556419,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.025,0.0019547015768575,0.079,5.767775870151592,0.4768349990230057,170.0,1.0,1.0,200.0,1.37,0.394614299230957,1.3990031161762222,0.0688161177772423,0.0047,0.0446,0.011,250.0,14.0,0.39,0.005,0.0005,0.0,0.1743655948981788,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.042,0.0015186935870657,0.078,1.358306689377657,0.6962515244144314,170.0,1.0,1.0,200.0,1.4,0.5341034644427904,1.643609111090066,0.0078692306400687,0.0044,0.0436,0.011,250.0,14.0,0.44,0.004,0.0005,0.0,0.086560983743952,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.066,0.0013893656721044,0.081,1.358306689377657,0.4673122863520778,170.0,1.0,1.0,200.0,1.42,0.4731400414184611,1.1347451273682596,0.0126493156088088,0.0046,0.0444,0.006,250.0,14.0,0.48,0.004,0.0004,0.0,0.1563331706430706,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0005,0.0007737474008898,0.069,3.882852755251063,0.0830941423361074,170.0,1.0,1.0,200.0,1.36,0.5277715734576216,0.2128340265879234,0.0078692306400687,0.0068,0.0432,0.009,250.0,14.0,0.3,0.007,0.0037,0.0,0.067960857323178,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0078,0.0003527077902816,0.08,2.3194882288624927,0.2480624011469571,170.0,1.0,1.0,200.0,1.41,0.8342192205883545,1.0503385671718428,0.0192398113181108,0.0055,0.0432,0.009,250.0,14.0,0.33,0.006,0.0043,0.0,0.0229423406559646,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.019,0.0006212432419703,0.076,1.358306689377657,0.018935375916032,170.0,1.0,1.0,200.0,1.36,0.4724704287225336,0.3418736175694689,0.0078692306400687,0.0053,0.0422,0.009,250.0,14.0,0.37,0.005,0.0036,0.0,0.0304777301173755,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.034,0.0014716499884964,0.078,0.6065564944008737,0.611103554222928,170.0,1.0,1.0,200.0,1.31,0.7865310763005899,1.393900434327101,0.0203295543239119,0.005,0.0431,0.008,250.0,14.0,0.44,0.005,0.0036,0.0,0.1420297975196905,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.049,0.0015656462827812,0.076,1.358306689377657,0.4613944260124392,170.0,1.0,1.0,200.0,1.3,1.0421097781901778,0.2128340265879234,0.0074348034050959,0.0048,0.0423,0.008,250.0,14.0,0.51,0.005,0.0043,0.0,0.1149174192690528,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.061,0.0024702094149542,0.079,1.358306689377657,0.6215970506957403,170.0,1.0,1.0,200.0,1.32,0.4568593928965376,0.4880570270149302,0.0441337660145901,0.0052,0.0422,0.008,250.0,14.0,0.57,0.004,0.0038,0.0,0.1387229472065008,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0008,0.0020401542354704,0.074,1.5483136144967278,0.249313390530791,170.0,1.0,1.0,200.0,1.5,0.4724704287225336,1.560632365857014,0.0182826167807899,0.0089,0.0375,0.006,250.0,14.0,0.32,0.006,0.0099,0.0,0.0288290659037134,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0047,0.0007961874000709,0.074,1.358306689377657,0.0830941423361074,170.0,1.0,1.0,200.0,1.41,0.2897382789259113,0.5256569274478813,0.0078692306400687,0.007,0.0407,0.006,250.0,14.0,0.27,0.007,0.0088,0.0,0.018,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.016,0.0008341241931391,0.071,1.6796339443327764,0.0014207983242938,170.0,1.0,1.0,200.0,1.36,0.7417646502788818,0.2128340265879234,0.0260493023919847,0.0052,0.0381,0.009,250.0,14.0,0.39,0.005,0.0092,0.0,0.0038282869510588,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.028,0.0007410888625036,0.069,0.567316581732003,0.075574142865167,170.0,1.0,1.0,200.0,1.36,0.8781798140631849,0.2128340265879234,0.015507113006858,0.0044,0.0374,0.008,250.0,14.0,0.45,0.005,0.0063,0.0,0.0337869303293133,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.048,0.0015310832314545,0.069,1.358306689377657,0.3794929831875874,170.0,1.0,1.0,200.0,1.39,0.4724704287225336,0.3225675188744306,0.023198998462833,0.0041,0.0379,0.008,250.0,14.0,0.51,0.004,0.0069,0.0,0.0330926705393362,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.064,0.0024238058409527,0.072,1.1296046882731985,0.183022085396092,170.0,1.0,1.0,200.0,1.4,0.990445506767374,0.2128340265879234,0.0217092600452724,0.0038,0.036,0.008,250.0,14.0,0.57,0.004,0.008,0.0,0.2082720535049721,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0003,0.0017741669367103,0.081,4.848593526158614,0.0305161466987824,170.0,1.0,1.0,200.0,1.54,1.0263732840245967,0.2514815645276764,0.0244298565430888,0.008,0.0312,0.008,250.0,14.0,0.34,0.007,0.018,0.0,0.1502397309769591,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0047,0.0009925565282366,0.072,2.768605259842272,0.1433111840092328,170.0,1.0,1.0,200.0,1.32,0.5833596710617537,0.2128340265879234,0.0349031554586874,0.0068,0.0397,0.008,250.0,14.0,0.24,0.006,0.018,0.0,0.0045588105544151,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.015,0.0008414860954893,0.072,1.358306689377657,0.369598591322965,170.0,1.0,1.0,200.0,1.33,0.3826004583714665,1.6600673548880422,0.0131532893080168,0.0057,0.0427,0.008,250.0,14.0,0.34,0.006,0.019,0.0,0.018,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.032,0.0012003360699284,0.074,1.358306689377657,0.263771008861183,170.0,1.0,1.0,200.0,1.36,0.4724704287225336,1.4551267488385942,0.0078692306400687,0.0049,0.0418,0.005,250.0,14.0,0.41,0.005,0.026,0.0,0.018,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.044,0.0037783843940747,0.066,2.588254192505885,0.5271491133157633,170.0,1.0,1.0,200.0,1.41,0.7911979399547617,1.1019814129841197,0.0600969714700136,0.0049,0.0407,0.009,250.0,14.0,0.46,0.004,0.024,0.0,0.1825683985120345,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.068,0.0023077904173363,0.066,1.358306689377657,0.2257351834359022,170.0,1.0,1.0,200.0,1.33,0.4724704287225336,0.2128340265879234,0.0078692306400687,0.0049,0.0454,0.008,250.0,14.0,0.44,0.004,0.024,0.0,0.0296093982697805,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.015,0.0042636867116972,0.071,4.739802168276837,0.349585449261619,170.0,1.0,1.0,200.0,1.39,0.9093566519514806,1.6326884130474182,0.0250662275660884,0.0065,0.0446,0.005,250.0,14.0,0.42,0.007,0.042,0.0,0.0541895799302878,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.007,0.0003,0.09,8.9,0.0791739489328568,180.0,1.0,1.0,175.0,0.98,1.0,0.6359043818977985,0.052,0.046,0.0642,0.012,750.0,8.0,0.18,0.008,0.0059729219396102,0.0,0.22,34.0,MeilleirResistance/MoindreDuctilite
0.0,0.0145425806095126,0.0017,0.088,9.1,0.0830941423361074,180.0,1.0,1.0,175.0,1.03,1.01,1.125695137943178,0.053,0.046,0.0604,0.013,750.0,8.0,0.17,0.007,0.0106310381401702,0.0,0.23,34.0,MeilleirResistance/MoindreDuctilite
0.0,0.0080568973674542,0.0032,0.091,9.02,0.0373894818845577,180.0,1.0,1.0,175.0,1.04,1.01,0.3237007954069877,0.062,0.048,0.0591,0.013,750.0,8.0,0.2,0.007,0.0145855334322865,0.0,0.24,34.0,MeilleirResistance/MoindreDuctilite
0.0,0.0198678831042324,0.0064,0.089,9.0,0.1356743739965655,180.0,1.0,1.0,175.0,1.05,1.04,3.740602472461223,0.07,0.046,0.0592,0.013,750.0,8.0,0.22,0.007,0.0395560914216844,0.0,0.23,34.0,MeilleirResistance/MoindreDuctilite
0.0,0.007,0.0003,0.094,8.99,0.101396588579782,180.0,1.0,1.0,175.0,1.0,1.03,2.4005893950959214,0.052,0.016,0.0636,0.012,750.0,8.0,0.17,0.008,0.0059729219396102,0.0,0.21,34.0,MeilleirResistance/MoindreDuctilite
0.0,0.0102478261549171,0.0019,0.086,8.9,0.231792270240837,180.0,1.0,1.0,175.0,1.01,1.01,1.6312237084522767,0.051,0.016,0.0596,0.012,750.0,8.0,0.2,0.007,0.0066670453123853,0.0,0.21,34.0,MeilleirResistance/MoindreDuctilite
