Carbon concentration (ppm),Silicon concentration (ppm),Manganese concentration (ppm),Sulphur concentration (ppm),Phosphorus concentration (ppm),Nickel concentration (ppm),Chromium concentration (ppm),Molybdenum concentration (ppm),Vanadium concentration (ppm),Copper concentration (ppm),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
760.0,3400.0000000000005,13600.000000000002,50.0,110.0,,,,,,476.0,5.0,57.0,150.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,437.0,527.0,24.6,78.9,,
760.0,3400.0000000000005,13600.000000000002,50.0,110.0,,,,,,476.0,5.0,57.0,150.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-58.0,28.0
760.0,3400.0000000000005,13600.000000000002,50.0,110.0,,,,,,476.0,5.0,57.0,150.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-20.0,100.0
790.0,3900.0,13700.000000000002,50.0,110.0,,,,,,446.0,5.0,47.0,250.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,437.0,538.0,25.2,78.9,,
790.0,3900.0,13700.000000000002,50.0,110.0,,,,,,446.0,5.0,47.0,250.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-56.0,28.0
790.0,3900.0,13700.000000000002,50.0,110.0,,,,,,446.0,5.0,47.0,250.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-25.0,100.0
780.0,4400.0,14000.0,40.0,110.0,,,,,,436.0,5.0,44.0,420.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,469.0,545.0,24.4,77.0,,
780.0,4400.0,14000.0,40.0,110.0,,,,,,436.0,5.0,44.0,420.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-62.0,28.0
780.0,4400.0,14000.0,40.0,110.0,,,,,,436.0,5.0,44.0,420.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-30.0,100.0
810.0,4800.0,14200.0,40.0,60.0,,,,,,444.0,4.0,46.0,660.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,466.0,551.0,26.2,78.9,,
810.0,4800.0,14200.0,40.0,60.0,,,,,,444.0,4.0,46.0,660.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-76.0,28.0
810.0,4800.0,14200.0,40.0,60.0,,,,,,444.0,4.0,46.0,660.0,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-29.0,100.0
690.0000000000001,3000.0,13600.000000000002,70.0,90.0,,,,,,432.0,37.0,68.0,5.0,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,468.0,529.0,32.6,80.7,,
