Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2)
0.037,0.3,0.65,0.009,0.011,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,3.5,3.3060629517058917,0.8752850776558805,0.16044297713810507,0.08309414233610742,0.011796338654323751,0.009994874808509552,0.0022575788295609114,0.027924651188933097,0.0,1.0,0.0,479.0,561.0,30.4,76.6,,,
0.037,0.3,0.65,0.009,0.011,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,3.5,2.0155816628746135,0.319700233964983,0.1698628865153418,0.32790052936843045,0.011744690353132886,0.03752266407478587,0.002416076969309777,0.021494032781398543,0.0,1.0,0.0,,,,,-26.0,100.0,
0.037,0.3,0.65,0.009,0.011,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,3.5,1.469313931199161,0.8785948561509422,0.19090777973840237,0.3758271267933378,0.019300489285067085,0.04221239041937801,0.0032372257486195624,0.03887485704847847,0.0,1.0,0.0,482.0,560.0,31.4,48.8,-63.0,100.0,
0.041,0.31,0.98,0.008,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,3.46,1.1433762562729741,0.32474487733219937,0.1372018050414654,0.6127575766099743,0.0103495068344953,0.025404091224532122,0.0016759114569374913,0.017736734920022312,0.0,1.0,0.0,525.0,605.0,27.6,76.0,,,
0.041,0.31,0.98,0.008,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,3.46,3.4628232517498523,0.6499578783412782,0.1482528892117086,0.5082974333586443,0.022591211465687676,0.013378781005084233,0.0021663329473454273,0.050677957857993707,0.0,1.0,0.0,,,,,-48.0,100.0,
0.041,0.31,0.98,0.008,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,3.46,3.636248478825229,1.1244275771267582,0.15043934441161533,0.5952137285539653,0.0006228360374987869,0.020026809907544324,0.002419862674107538,0.043361779480080416,0.0,1.0,0.0,521.0,599.0,28.4,74.0,-38.0,100.0,
0.048,0.33,1.4,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,3.47,0.980276583101277,0.6176249747239049,0.08268395046056064,0.24642735274267585,0.0063636440278712885,0.010194591882935745,0.0014878069516686557,0.007869230640068782,0.0,1.0,0.0,621.0,682.0,25.4,72.9,,,
0.048,0.33,1.4,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,3.47,4.120652174017657,0.45790352994017464,0.26803048715608674,0.7486490044517751,0.026677365699493798,0.03977030279085091,0.003808598269388523,0.020367996260249505,0.0,1.0,0.0,,,,,-18.0,100.0,
0.048,0.33,1.4,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,3.47,1.923716206303771,0.0789045387867569,0.1277540049944067,0.3349363668957267,0.013572680529357343,0.011662104033610825,0.0026542633296339256,0.007869230640068782,0.0,1.0,0.0,584.0,677.0,26.6,70.8,56.0,100.0,
0.051,0.36,1.79,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,3.42,1.6449468875937723,0.7247189305151392,0.2304466311680164,0.7292583030078261,0.015128416822264915,0.02905937031820066,0.003091106951943829,0.0016158915819831227,0.0,1.0,0.0,692.0,753.0,22.2,69.7,,,
0.051,0.36,1.79,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,3.42,0.5353115760435785,1.0405113789487321,0.14929417748530627,0.5074450549108649,0.005972921939610263,0.02994758148850216,0.0016628884028246844,0.02101700244262037,0.0,1.0,0.0,,,,,24.0,100.0,
0.051,0.36,1.79,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,3.42,1.1889861441446414,0.6698634849513059,0.06755935667752933,0.15514545395665302,0.014931009965288285,0.012884604524837528,0.001756854981989354,0.0012092910693386992,0.0,1.0,0.0,662.0,745.0,24.0,67.5,,,
0.074,0.36,1.51,0.008,0.011,0.04,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,1.2229152457078218,1.358306689377657,0.47247042872253364,0.018,0.02,0.004,0.012024692341863671,0.000773747400889894,0.007869230640068782,0.0,1.0,0.0,484.0,560.0,26.0,78.8,,,
