Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
0.041,0.3,0.62,0.007,0.01,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,2.38,3.2573503364276224,0.8245038511141485,0.01,0.2198123603721367,0.012572848264557748,0.011234757505050826,0.00074138770410578,0.0007424927384759236,0.0,1.0,0.0,,,,,-50.0,100.0
0.041,0.3,0.62,0.007,0.01,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,2.38,0.7454349590352554,0.16398630740987413,0.01,0.8314952460462681,0.005689342478419967,0.007641330215113547,0.0006286175325343884,0.028586210948666424,0.0,1.0,0.0,431.0,518.0,32.2,76.9,-41.0,100.0
0.044,0.31,0.96,0.006,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,2.38,3.4877653809300644,1.4601613630708183,0.13135286556393988,0.15054567112512152,0.005801497180090369,0.014524341501800667,0.0007537720173602232,0.027209789371500006,0.0,1.0,0.0,489.0,567.0,30.6,76.9,,
0.044,0.31,0.96,0.006,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,2.38,6.105372700083618,0.627487657052315,0.5474608103411508,0.11,0.0013946424393228747,0.024679238259014448,0.0004579781257284689,0.049232556933474655,0.0,1.0,0.0,,,,,-59.0,100.0
0.044,0.31,0.96,0.006,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,2.38,4.318044019548515,0.8844232681298931,0.01,0.48734418094698023,0.026320760816433662,0.009647225912559808,0.002796840218449635,0.02588059232306763,0.0,1.0,0.0,481.0,561.0,29.1,76.9,-44.0,100.0
0.049,0.32,1.41,0.007,0.014,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,2.32,0.4085963193927536,0.7177893541383642,0.31654815757955057,0.12417399502833512,0.005689342478419967,0.009797607761134235,0.0002720712346056602,0.012568313179566979,0.0,1.0,0.0,567.0,635.0,23.6,72.7,,
0.049,0.32,1.41,0.007,0.014,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,2.32,1.1194755561868572,0.2603973414094193,0.01,0.11,0.010615512886457073,0.007641330215113547,0.0009567935849504331,0.008512305186648462,0.0,1.0,0.0,,,,,-38.0,100.0
0.049,0.32,1.41,0.007,0.014,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,2.32,1.1474793313753615,0.23689587496970693,0.16371395822027085,0.11,0.005689342478419967,0.036261497806566,0.0005546316569428102,0.001329523276729987,0.0,1.0,0.0,530.0,615.0,26.6,73.0,-20.0,100.0
0.046,0.32,1.81,0.007,0.015,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,2.33,1.1474793313753615,0.396966291346844,0.23732975740327777,0.10174215069507751,0.010381538639400648,0.019247531648083675,0.0012918822932091898,0.006454823634675743,0.0,1.0,0.0,621.0,684.0,23.5,73.9,,
0.046,0.32,1.81,0.007,0.015,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,2.33,1.1474793313753615,0.188906734451156,0.9973436598701871,0.11,0.00571507512509732,0.018764789477500356,0.0013071840791952997,0.002474686578264925,0.0,1.0,0.0,,,,,-30.0,100.0
0.046,0.32,1.81,0.007,0.015,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,2.33,1.0689319131329895,1.0154126166360367,0.01,0.11,0.01572933837011954,0.018206059400800785,0.0015059522153145445,0.005967944939540344,0.0,1.0,0.0,574.0,665.0,26.4,70.7,,
0.037,0.3,0.65,0.009,0.011,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,3.5,4.360362852987022,0.23883071473812334,0.23146097703901553,0.9403411566484225,0.006084413490308995,0.02542141623663745,0.0014798102177148518,0.021301770293180918,0.0,1.0,0.0,479.0,561.0,30.4,76.6,,
0.037,0.3,0.65,0.009,0.011,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,3.5,3.967992180398981,0.9752943611854485,0.01,0.2508397934079202,0.005689342478419967,0.008370393999613146,0.0006286175325343884,0.037063531609143066,0.0,1.0,0.0,,,,,-26.0,100.0
0.037,0.3,0.65,0.009,0.011,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,3.5,6.861024001110556,1.0645861121069355,0.01,0.23152141866675022,0.02056121149513076,0.01844381638359944,0.00238449295098492,0.03561973250090704,0.0,1.0,0.0,482.0,560.0,31.4,48.8,-63.0,100.0
0.041,0.31,0.98,0.008,0.012,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,3.46,0.6030637124005898,0.396966291346844,0.01,0.18893228268944512,0.005689342478419967,0.007641330215113547,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,525.0,605.0,27.6,76.0,,
0.041,0.31,0.98,0.008,0.012,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,3.46,3.206628249895949,0.2984434463518784,0.5332692484951811,0.2849727454397333,0.020002129557451478,0.013973399319733595,0.0024522429370149633,0.017503241008658448,0.0,1.0,0.0,,,,,-48.0,100.0
0.041,0.31,0.98,0.008,0.012,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,3.46,3.130078838534776,0.8483752606219529,0.01,0.2574231069034838,0.00996079675746142,0.007641330215113547,0.0012551665699142018,0.03542797440977602,0.0,1.0,0.0,521.0,599.0,28.4,74.0,-38.0,100.0
0.048,0.33,1.4,0.007,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,3.47,0.5123351299893661,0.0018230661334944775,0.01,0.5433152968419731,0.025550127882774044,0.02018633084620165,0.003101237644043902,0.028916441628970196,0.0,1.0,0.0,621.0,682.0,25.4,72.9,,
0.048,0.33,1.4,0.007,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,3.47,1.1474793313753615,0.4168133890173208,0.32826196090681914,0.733307686186965,0.0015407938330797184,0.01662238115137097,4.899252767474741e-05,0.01136452610668666,0.0,1.0,0.0,,,,,-18.0,100.0
0.048,0.33,1.4,0.007,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,3.47,3.5615913002083754,0.7518547587393203,0.01,0.5573778761908694,0.009888018257729203,7.477454695448225e-05,0.00041210654363815525,0.005967944939540344,0.0,1.0,0.0,584.0,677.0,26.6,70.8,56.0,100.0
0.051,0.36,1.79,0.007,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,3.42,0.18280383531373778,0.396966291346844,0.01,0.5653593176511538,0.005689342478419967,0.012994121391019296,0.0002609294872644992,0.016450064790000517,0.0,1.0,0.0,692.0,753.0,22.2,69.7,,
0.051,0.36,1.79,0.007,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,3.42,4.9244613064111755,0.24328925024069858,0.01,0.540171796210765,0.019515229552071085,0.0006224735127240595,0.002962643635792237,0.03339851546105372,0.0,1.0,0.0,,,,,24.0,100.0
0.051,0.36,1.79,0.007,0.013,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,3.42,1.1474793313753615,0.6963622469621753,0.01,0.11,0.005689342478419967,0.007641330215113547,1.6033277777449927e-05,0.005967944939540344,0.0,1.0,0.0,662.0,745.0,24.0,67.5,,
0.074,0.36,1.51,0.008,0.011,0.04,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,1.0528413113561856,2.4010919656535936,0.16183466673387123,0.01,0.02,0.004,0.007641330215113547,0.0004649671888502299,0.009941731216924148,0.0,1.0,0.0,484.0,560.0,26.0,78.8,,
0.074,0.36,1.51,0.008,0.011,0.04,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,0.2,1.1474793313753615,0.6077391845639448,0.01,0.02,0.004,0.020956852064015125,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,471.0,563.0,31.2,77.0,,
0.075,0.36,1.48,0.007,0.006,0.039,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,1.1242026602210815,3.831164017292509,0.9101111577863483,0.43551466122971827,0.11,0.004,0.0053657500688843954,0.0011325218490473785,0.02942900249434308,0.0,1.0,0.0,502.0,578.0,27.6,77.0,,
0.075,0.36,1.48,0.007,0.006,0.039,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,1.5267500534918914,2.084694425170812,0.7203573627079037,0.01,0.11,0.004,0.015941758490396307,0.0002593663905781987,0.021178982245540642,0.0,1.0,0.0,462.0,548.0,29.8,77.9,,
0.074,0.32,1.42,0.008,0.007,0.038,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,0.2,1.1474793313753615,0.405852730389817,0.5764486015741194,0.19,0.004,0.03021661220191529,1.3081179893725424e-05,0.005967944939540344,0.0,1.0,0.0,488.0,566.0,28.2,77.0,,
0.074,0.32,1.42,0.008,0.007,0.038,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,1.2883314589032047,0.9407608870669115,0.396966291346844,0.01,0.19,0.004,0.007641330215113547,5.964299398251462e-05,0.0018582419131951242,0.0,1.0,0.0,453.0,549.0,31.2,78.8,,
0.076,0.33,1.48,0.007,0.006,0.04,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,0.2,8.425381088758,1.2121430802082331,0.01,0.35,0.004,0.0015971758665716887,0.0006431216514001898,0.054688920588411294,0.0,1.0,0.0,504.0,586.0,27.6,77.0,,
