Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),target
0.065,0.34,0.97,0.007,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.1612692497932922,0.7922765882784171,0.4724704287225336,0.0582355349658548,0.4824877457712329,0.0049872137049789,0.031650525302959,0.0014941272129903,0.0147824933808613,0.0,1.0,0.0,418.0,500.0,35.0,80.6,-50.0,100.0,,1
0.065,0.26,0.61,0.007,0.007,0.0488,0.0086,170.0,21.0,1.0,200.0,250.0,14.0,2.14,0.0,0.0,0.0005,0.0,0.0005,0.0005,0.0005,0.0005,0.0,0.0,0.0,443.0,528.0,32.4,76.0,-65.0,100.0,,1
0.075,0.36,1.48,0.007,0.006,0.039,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,0.5593542937514258,5.2889633210990015,0.9279364482551142,0.2080732538051435,0.11,0.004,0.0206965703049357,0.000842761302088,0.0215378689396706,0.0,1.0,0.0,502.0,578.0,27.6,77.0,,,,1
0.06,0.26,1.2,0.008,0.007,0.032,0.015,180.0,34.0,2.0,200.0,250.0,14.0,1.076301701915258,3.211095923470094,0.2507064064819536,0.0530994275195244,0.1499796609308637,0.0131213264969728,0.0118901403654039,0.0007572036294233,0.0195081515770116,1.0,0.0,0.0,440.0,523.0,33.0,81.5,,,,1
0.079,0.57,1.32,0.004,0.008,0.0422,0.0052,170.0,21.0,1.0,200.0,250.0,14.0,0.4880570270149302,1.358306689377657,0.4568593928965376,0.1387229472065008,0.6215970506957403,0.0038,0.061,0.0024702094149542,0.0441337660145901,0.0,1.0,0.0,491.0,570.0,29.2,77.0,,,,1
0.11,0.25,1.33,0.008,0.011,0.044,0.0145,650.0,33.0,3.3,300.0,0.0,0.0,0.067,0.053,0.44,0.097,0.072,0.005,0.018,0.0022872013945191,0.005,0.0,1.0,1.0,559.0,735.0,25.0,62.0,,,,1
0.072,0.33,1.22,0.008,0.006,0.0447,0.0085,170.0,21.0,1.0,200.0,0.0,0.0,0.0668180407128717,1.4015495394479711,0.170664532945514,0.019,0.0830941423361074,0.0029,0.0005,0.0005,0.0005,0.0,1.0,0.0,,,,,-66.0,100.0,,0
0.032,0.45,2.05,0.002,0.01,0.032,0.0119,180.0,23.0,1.0,250.0,0.0,0.0,0.4718958220147068,5.30758886848428,0.5850832700459002,0.112607834958347,0.0048126101943093,0.012,0.009,0.0022983363166237,0.051644654952813,0.0,1.0,0.0,506.0,,,,-20.0,143.0,,0
0.145,0.35,1.76,0.006,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,1.5831839571326085,0.6963231963774412,0.0571413473151691,0.2785098817122923,0.0125447209011691,0.0135538571970537,0.0018095856724268,0.0090624672111835,0.0,1.0,0.0,567.0,679.0,24.0,69.8,-50.0,42.0,,1
0.1,0.38,1.58,0.013,0.016,0.0421,0.0082,650.0,33.0,3.3,300.0,0.0,0.0,0.046,0.053,0.006,0.032,0.12,0.006,0.018,0.0007424331457646,0.005,0.0,1.0,1.0,540.0,,30.0,60.0,,,,0
0.072,0.57,1.4,0.004,0.008,0.036,0.0038,170.0,21.0,1.0,200.0,0.0,0.0,2.67097640357075,1.358306689377657,0.4724704287225336,0.1197357597502676,0.1606896127790399,0.008,0.064,0.0019257745584708,0.0078692306400687,0.0,1.0,0.0,,,,,-68.0,28.0,,0
0.055,0.35,1.93,0.007,0.011,0.0421,0.0082,170.0,21.0,0.6,200.0,0.0,0.0,0.7750638862543376,5.746401560360468,0.480765794475413,0.075206587043048,0.1629399882623651,0.0013983460664712,0.007,0.0007737474008898,0.0029757979851557,0.0,1.0,0.0,,,,,-28.0,100.0,,-1
0.1,0.41,1.83,0.009,0.014,0.0421,0.0082,650.0,33.0,3.3,300.0,250.0,2.0,0.095,0.078,0.3,0.041,0.16,0.007,0.019,0.0005710358307972,0.005,0.0,1.0,1.0,692.0,,30.0,60.0,,,,-1
0.077,0.32,1.33,0.007,0.005,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,0.3427935444154786,0.4269439133978945,0.8407881324055398,0.0005,0.0830941423361074,0.0036,0.0005,0.0005,0.0005,0.0,1.0,0.0,,,,,-68.0,100.0,,-1
0.032,0.45,1.27,0.008,0.01,0.0321,0.0094,180.0,23.0,1.0,250.0,0.0,0.0,0.0272444223204814,3.1134721409424277,0.5641832805742115,0.0887680116480143,0.0018565131309794,0.013,0.009,0.0012958070486833,0.0002036314321801,0.0,1.0,0.0,440.0,,,,-40.0,21.0,,-1
0.095,0.36,1.05,0.007,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.6748733531261546,6.844735939353571,0.6025390166225607,0.2484730318079124,0.195931941448947,0.0074728168064847,0.020847398019877,0.0035126302673825,0.0698075742950918,0.0,1.0,0.0,435.0,546.0,34.0,77.0,20.0,220.0,,-1
0.11,0.14,0.73,0.002,0.005,0.0254,0.0026,500.0,29.0,2.9,200.0,690.0,8.0,2.4886326439989035,2.3,1.03,0.27,0.5343731419148438,0.0081216430093882,0.0408489404255697,0.0025655415920693,0.02,1.0,0.0,1.0,,738.0,,,-20.0,13.0,,-1
0.049,0.33,1.85,0.006,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.51,0.6834501425699405,0.4724704287225336,0.0417601326766618,0.2198609675698783,0.0037596262844411,0.0214231325081688,0.0003606045223251,0.0154001247280635,0.0,1.0,0.0,547.0,618.0,26.0,74.9,,,,-1
0.07,0.08,0.98,0.01,0.01,0.0891,0.0097,300.0,28.0,2.04,150.0,690.0,10.0,0.27,2.07,1.07,0.015,0.0830941423361074,0.0169911599814849,0.007,0.0020292374577333,0.0126093698918485,0.0,1.0,2.0,440.0,540.0,24.0,67.0,60.0,210.0,,-1
0.045,0.29,1.83,0.005,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,1.358306689377657,0.4724704287225336,0.018,0.0393680257130854,0.0044131406210034,0.007,0.0001864729576668,0.0078692306400687,0.0,1.0,0.0,444.0,525.0,29.8,79.9,20.0,222.0,,-1
0.078,0.32,1.39,0.007,0.009,0.0436,0.0066,170.0,21.0,1.0,200.0,0.0,0.0,0.6130189146651778,1.358306689377657,0.8333590864931173,0.0005,0.2252987656027166,0.0042,0.0044,0.0005,0.0005,0.0,1.0,0.0,,,,,-60.0,100.0,,-1
0.07,0.16,1.17,0.013,0.02,0.0368,0.0108,625.0,72.24,4.4,200.0,0.0,0.0,1.4888289001347617,0.3332461506419767,0.02,0.01,0.26,0.0113762089698387,0.005639363199562,0.0005934274265168,0.0078692306400687,0.0,1.0,3.0,350.0,462.0,24.0,76.0,-40.0,145.0,,-1
0.07,0.47,1.1,0.011,0.02,0.0421,0.019,170.0,21.0,1.9,140.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0053,0.0019480305334914,0.0,0.0,1.0,0.0,561.1,643.5,21.0,64.2,,,216.0,-1
0.065,0.34,0.97,0.007,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.4566794561015791,4.51795722872899,1.1829143215804994,0.0840298287345164,0.0830941423361074,0.0059729219396102,0.007,0.0007737474008898,0.0078692306400687,0.0,1.0,0.0,418.0,500.0,35.0,80.6,20.0,220.0,,-1
0.098,0.39,2.25,0.008,0.014,0.033,0.0088,180.0,23.0,1.0,250.0,0.0,0.0,0.2128340265879234,1.358306689377657,0.4724704287225336,0.018,0.0830941423361074,0.013,0.003,0.0007737474008898,0.0078692306400687,0.0,1.0,0.0,541.0,,,,-60.0,53.0,,-1
0.13,0.37,1.83,0.01,0.011,0.0318,0.0063,180.0,23.0,1.0,250.0,0.0,0.0,0.2128340265879234,0.851483176265836,0.5005824190278825,0.018,0.1221378162200465,0.013,0.003,0.0007067096532689,0.0078692306400687,0.0,1.0,0.0,526.0,,,,-60.0,89.0,,-1
0.043,0.3,0.69,0.006,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,4.310112990506598,0.7226297221602143,0.0870409453876177,0.0830941423361074,0.0138556479441888,0.0136763070889481,0.0006599318369015,0.0171189918208241,0.0,1.0,0.0,373.0,448.0,34.4,83.0,-70.0,9.0,,-1
0.043,0.2,0.52,0.009,0.01,0.0421,0.0082,170.0,21.0,4.3,200.0,0.0,0.0,0.2128340265879234,1.358306689377657,0.4724704287225336,0.018,0.0830941423361074,0.0027746853615838,0.0171818067515499,0.0007737474008898,0.0078692306400687,0.0,1.0,0.0,,,,,-15.0,100.0,,-1
0.054,0.33,1.72,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.861808746403018,2.36,0.5379259011015035,0.1826229160763513,0.2573804310569094,0.0059729219396102,0.0392749161746626,0.0007110860501442,0.0274939818869887,0.0,1.0,0.0,697.0,757.0,19.6,69.7,,,,-1
0.051,0.33,1.83,0.006,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.2128340265879234,0.52,0.3010599326925766,0.0778429510913145,0.3770714883869037,0.0078604585741418,0.0100011609120768,0.0010581861408825,0.0401903792383995,0.0,1.0,0.0,617.0,674.0,23.0,70.2,,,,-1
0.078,0.43,1.1,0.007,0.005,0.0329,0.0073,170.0,21.0,1.0,200.0,0.0,0.0,0.9648444419474967,0.007258887338532,0.257958041512041,0.0005,0.4176718075481258,0.019,0.0005,0.0005,0.0005,0.0,1.0,0.0,,,,,-50.0,100.0,,-1
0.058,0.33,0.63,0.007,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.5792340305916208,7.536263639795808,1.1544955590982633,0.2082898100092383,0.0830941423361074,0.009835574507209,0.0170491554718484,0.0020254741937032,0.0254714562589902,0.0,1.0,0.0,386.0,465.0,33.4,78.8,-20.0,178.0,,-1
0.043,0.12,0.86,0.011,0.017,0.0922,0.0123,300.0,20.0,2.08,150.0,690.0,10.0,0.2,2.01,0.93,0.02,0.261074286396169,0.0022650119716525,0.0052091036084246,0.0007737474008898,0.0305650641435324,0.0,1.0,2.0,505.0,600.0,19.0,69.0,-70.0,3.0,,-1
