Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),target
0.075,0.35,1.05,0.008,0.007,0.0361,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.133985191969134,1.086526204919892,1.085535248247942,0.0005,0.1867846616763775,0.014,0.0005,0.0005,0.0005,0.0,1.0,0.0,,,,,-45.0,100.0,,-1
0.078,0.3,1.35,0.007,0.007,0.0405,0.0076,170.0,21.0,1.0,200.0,250.0,14.0,0.2743848523930945,1.020681927059955,0.6434061756031927,0.0595,0.0446152624519747,0.003,0.0005,0.0005,0.0005,0.0,1.0,0.0,521.0,589.0,22.6,76.0,,,,-1
0.06,0.39,1.95,0.01,0.021,0.0395,0.0125,170.0,21.0,1.8,100.0,250.0,16.0,0.02,1.0592708179093602,0.34,0.1378911762218696,0.02,0.0133615270077441,0.0473057029394567,0.0013457786247004,0.0078692306400687,0.0,1.0,0.0,677.0,741.0,,,,,,-1
0.045,0.48,0.97,0.01,0.018,0.043,0.0107,170.0,21.0,1.8,100.0,620.0,1.0,0.03,3.191619313775109,0.32,0.0279955673535889,0.02,0.0119711958715595,0.0045361178186112,0.0016270359181726,0.012700025288879,0.0,1.0,0.0,485.0,584.0,,,,,,-1
0.12,0.44,1.35,0.01,0.014,0.0326,0.0055,180.0,23.0,1.0,250.0,0.0,0.0,0.2128340265879234,2.489855174111358,0.5740180236406554,0.024550783713442,0.065088901874334,0.015,0.003,0.0014617112898889,0.0099941327590595,0.0,1.0,0.0,516.0,,,,20.0,176.0,,-1
0.065,0.34,0.97,0.007,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.0764986611692991,0.0219218843934694,0.2842379317879808,0.018,0.0830941423361074,0.0113394659494634,0.007,0.0005682759864376,0.0078692306400687,0.0,1.0,0.0,418.0,500.0,35.0,80.6,-40.0,155.0,,-1
0.079,0.37,1.82,0.006,0.007,0.0324,0.0081,170.0,21.0,1.0,200.0,250.0,14.0,0.5167863920122671,2.2737769391987035,0.7579872488853868,0.0005,0.0830941423361074,0.0255,0.0005,0.0005,0.0005,0.0,1.0,0.0,536.0,612.0,25.4,76.0,,,,-1
0.076,0.24,1.41,0.008,0.006,0.0447,0.0085,170.0,21.0,1.0,200.0,250.0,14.0,0.0,0.0,1.11,0.0005,0.0,0.0005,0.0005,0.0005,0.0005,0.0,0.0,0.0,594.0,699.0,19.2,68.6,-50.0,28.0,,-1
0.044,0.32,0.62,0.007,0.007,0.0421,0.0082,170.0,21.0,0.6,200.0,0.0,0.0,1.3492193415680251,1.358306689377657,0.3460991075647652,0.018,0.4319754362311065,9.729697041685555e-05,0.007184909285388,0.0007737474008898,0.0078692306400687,0.0,1.0,0.0,,,,,-36.0,100.0,,-1
0.05,0.18,0.63,0.015,0.018,0.075,0.0082,150.0,37.5,1.0,300.0,690.0,3.0,0.2128340265879234,2.0,1.0148172680248229,0.0021309623012296,0.0830941423361074,0.0059729219396102,0.007,0.0004693787936294,0.0253317522121428,0.0,1.0,0.0,543.0,649.0,20.0,71.0,,,217.0,-1
0.1,0.55,1.02,0.01,0.01,0.0262,0.0062,190.0,23.0,1.0925,250.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0035416196925509,0.001,0.0001109407025438,0.0,0.0,1.0,0.0,507.0,575.0,27.6,73.0,,,,-1
0.069,0.31,1.5,0.008,0.008,0.04,0.016,170.0,21.0,1.0,200.0,0.0,0.0,0.4357303819605206,2.9330975099459677,0.8836839608638452,0.018,0.2259746031408002,0.0051,0.0013405390875344,0.0007720493252225,0.038512326933141,0.0,1.0,0.0,522.0,584.0,26.4,78.9,,,,-1
0.08,0.39,1.37,0.007,0.006,0.032,0.009,170.0,21.0,1.0,200.0,250.0,14.0,0.2128340265879234,2.6432367348266728,0.8368952170163071,0.0005,0.0830941423361074,0.0215,0.0005,0.0005,0.0005,0.0,1.0,0.0,485.0,559.0,28.0,80.7,,,,-1
0.145,0.35,1.76,0.006,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.1192804107181113,1.358306689377657,0.4724704287225336,0.018,0.0830941423361074,0.0152452416468779,0.018430926315633,0.0007737474008898,0.0078692306400687,0.0,1.0,0.0,567.0,679.0,24.0,69.8,-40.0,55.0,,-1
0.077,0.29,1.77,0.008,0.009,0.0432,0.0097,170.0,21.0,1.0,200.0,580.0,2.0,0.3724641415262603,4.533296360542869,0.1639985229346968,0.0004,0.0830941423361074,0.0031,0.0005,0.0005,0.045,0.0,1.0,0.0,577.0,661.0,21.6,71.9,-15.0,100.0,,-1
0.072,0.36,0.64,0.008,0.006,0.0436,0.0084,170.0,21.0,1.0,200.0,250.0,14.0,0.6107814577369463,5.654112110066842,0.6729836180376043,0.0815,0.0830941423361074,0.0034,0.0005,0.0005,0.0005,0.0,1.0,0.0,490.0,563.0,25.2,77.0,,,,-1
0.12,0.29,1.46,0.025,0.028,0.0421,0.0082,650.0,33.0,3.3,300.0,250.0,2.0,0.056,0.056,0.005,0.12,0.09,0.005,0.018,0.0012053449114885,0.004,0.0,1.0,1.0,605.0,,16.0,48.0,,,,-1
0.147,0.35,1.38,0.007,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.3096299958256328,1.358306689377657,0.0409595512214302,0.018,0.0830941423361074,0.0247458539220982,0.0095166535600258,0.0005124127782794,0.0021799206361548,0.0,1.0,0.0,513.0,623.0,27.4,72.9,-70.0,38.0,,-1
0.072,0.36,0.64,0.008,0.006,0.0436,0.0084,170.0,21.0,1.0,200.0,0.0,0.0,1.3960277699663026,4.711730388877859,0.7779304544946974,0.0815,0.1236909418434124,0.0034,0.0005,0.0005,0.0005,0.0,1.0,0.0,,,,,-40.0,100.0,,-1
0.066,0.35,1.36,0.007,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.5613879113946088,4.586779547567531,1.041083783275443,0.1154411598391186,0.0830941423361074,0.012996627980413,0.005285992630249,0.0020898819959474,0.023763771150072,0.0,1.0,0.0,455.0,540.0,31.2,77.9,-60.0,72.0,,-1
0.032,0.45,1.27,0.008,0.01,0.0321,0.0094,180.0,23.0,1.0,250.0,0.0,0.0,1.0591670128131172,0.0280331573846031,0.4724704287225336,0.018,0.1134382622165269,0.013,0.009,0.0014726350672719,0.0078692306400687,0.0,1.0,0.0,440.0,,,,-60.0,10.0,,-1
0.075,0.31,1.03,0.008,0.007,0.0394,0.0079,170.0,21.0,1.0,200.0,580.0,2.0,0.6809039621116213,1.358306689377657,0.3574187871302667,0.0005,0.3559662094727207,0.0092,0.0005,0.0005,0.0005,0.0,1.0,0.0,375.0,470.0,32.4,79.8,-56.0,100.0,,-1
0.07,0.16,1.17,0.013,0.02,0.0368,0.0108,625.0,72.24,4.4,200.0,0.0,0.0,0.4343912927665782,1.358306689377657,0.02,0.01,0.26,0.0060840002275717,0.0228583915788254,0.0002512905291579,0.0036047634723713,0.0,1.0,3.0,350.0,462.0,24.0,76.0,-20.0,168.0,,-1
0.08,0.25,1.35,0.009,0.017,0.0392,0.0122,550.0,28.0,3.6,100.0,0.0,0.0,0.09,0.07,0.01,0.01,0.14,0.01,0.012,0.001,0.02,0.0,1.0,1.0,547.0,635.0,15.0,66.0,-18.0,70.0,,-1
0.091,0.16,1.0,0.008,0.015,0.0666,0.052,180.0,34.0,1.0,175.0,750.0,8.0,0.0,9.3,0.98,0.19,0.0741861610141871,0.0220280089004135,0.0007689718058689,0.002443713017054,0.041,0.0,1.0,0.0,481.0,672.0,23.7,66.7,,,,-1
0.12,0.26,1.4,0.012,0.014,0.042,0.0138,650.0,33.0,3.3,300.0,600.0,0.75,0.057,0.05,0.009,0.056,0.106,0.005,0.014,0.0009792482444962,0.005,0.0,1.0,1.0,581.0,704.0,23.0,60.0,,,,-1
0.1,0.42,0.96,0.003,0.006,0.04,0.043,143.0,21.0,1.1,200.0,760.0,8.0,0.17,8.8,1.01,0.21,0.02,1e-06,1e-06,0.0019077137780659,0.09,0.0,1.0,0.0,,,,,20.0,44.0,,-1
0.073,0.34,0.66,0.007,0.007,0.0433,0.007,170.0,21.0,1.0,200.0,250.0,14.0,0.0,0.0,0.5,0.0005,0.0,0.0042,0.0005,0.0005,0.0005,0.0,0.0,0.0,483.0,565.0,27.2,78.0,-48.0,100.0,,-1
0.042,0.14,1.33,0.012,0.015,0.0735,0.0236,300.0,28.0,1.96,150.0,690.0,10.0,0.26,2.39,1.21,0.015,0.0187400471528506,0.0072459619501064,0.007,0.0002889817783347,0.0078692306400687,0.0,1.0,2.0,520.0,620.0,20.0,54.0,20.0,139.0,,-1
0.063,0.31,0.65,0.006,0.009,0.0472,0.0085,170.0,21.0,1.0,200.0,250.0,14.0,0.88,0.0,0.0,0.0005,0.0,0.0038,0.0005,0.0005,0.0005,0.0,0.0,0.0,423.0,501.0,31.8,77.0,-63.0,100.0,,-1
0.072,0.57,1.4,0.004,0.008,0.036,0.0038,170.0,21.0,1.0,200.0,0.0,0.0,1.9450613603712728,0.99503551047537,0.5289031013401382,0.2271163353272513,0.4440189118212289,0.008,0.064,0.0041404801931608,0.0078692306400687,0.0,1.0,0.0,,,,,-41.0,100.0,,-1
0.12,0.14,1.03,0.002,0.006,0.0166,0.0022,500.0,29.0,2.9,200.0,690.0,8.0,1.803206929509172,2.3,1.03,0.27,0.5473634880594025,0.0094063919292544,0.057864853205558,0.0034110439255346,0.02,1.0,0.0,1.0,,745.0,,,-20.0,149.0,,-1
0.07,0.08,0.98,0.01,0.01,0.0891,0.0097,300.0,28.0,2.04,150.0,690.0,10.0,0.27,2.07,1.07,0.015,0.245268649497159,0.0059729219396102,0.007,0.0002279257296722,0.0439677091325705,0.0,1.0,2.0,440.0,540.0,24.0,67.0,0.0,117.0,,-1
0.041,0.33,1.01,0.006,0.011,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.49,2.7631113928034208,0.7273475754488898,0.1951697395854898,0.2708290067105231,0.0089412089322704,0.0264830409316386,0.0026310181833289,0.0317496568738533,0.0,1.0,0.0,426.0,506.0,31.6,79.7,,,,-1
0.075,0.26,1.46,0.008,0.006,0.0418,0.0072,170.0,21.0,1.0,200.0,250.0,14.0,3.15,0.0,0.0,0.0005,0.0,0.0032,0.0005,0.0005,0.0005,0.0,0.0,0.0,604.0,680.0,20.0,71.9,-95.0,28.0,,-1
0.03,0.45,0.78,0.013,0.01,0.0336,0.0095,180.0,23.0,1.0,250.0,0.0,0.0,0.7930418665876717,1.079578205655324,0.5416847272542705,0.0364618390599268,0.5058580285441503,0.014,0.009,0.0021925134699891,0.0187651320415462,0.0,1.0,0.0,408.0,,,,20.0,212.0,,-1
0.08,0.25,0.8,0.01,0.01,0.0421,0.0082,525.0,30.0,1.75,210.0,700.0,20.0,0.03,2.3,1.05,0.01,0.02,0.0108072736933035,0.007,0.0003615461599848,0.0295079564109399,0.0,1.0,1.0,509.0,610.0,,,-30.0,141.0,,-1
0.09,0.37,1.03,0.004,0.01,0.047,0.037,180.0,23.0,1.3,175.0,740.0,2.0,0.05,8.8,1.03,0.25,0.01,0.01,0.01,0.0029410086859263,0.08,0.0,1.0,0.0,,,,,,,251.0,-1
0.088,0.37,1.59,0.011,0.01,0.0491,0.0077,180.0,23.0,1.0,250.0,0.0,0.0,0.297563103665845,0.0396693928152938,0.4724704287225336,0.018,0.1151836684782383,0.012,0.003,0.0007539759915845,0.0344200756202045,0.0,1.0,0.0,478.0,,,,20.0,174.0,,-1
0.076,0.33,1.04,0.007,0.006,0.0429,0.007,170.0,21.0,1.0,200.0,250.0,14.0,0.6885790882971127,1.4257817702718376,0.2622766329552085,0.061,0.025953066593282,0.0031,0.0005,0.0005,0.0005,0.0,1.0,0.0,509.0,576.0,25.6,77.4,,,,-1
0.1,0.42,0.91,0.004,0.008,0.039,0.041,146.0,22.0,1.1,200.0,760.0,8.0,0.17,8.9,0.98,0.21,0.03,1e-06,1e-06,0.0025273550239125,0.09,0.0,1.0,0.0,,,,,-20.0,10.0,,-1
0.082,0.18,0.75,0.014,0.02,0.0381,0.0109,625.0,72.24,4.4,200.0,0.0,0.0,0.5703551809175953,0.5543157203324373,0.02,0.005,0.22,0.0053469312906421,0.0075967797165244,1.8149902510980306e-05,0.0321791773055434,0.0,1.0,3.0,349.0,456.0,36.0,72.0,0.0,155.0,,-1
0.074,0.32,1.5,0.006,0.006,0.0375,0.0089,170.0,21.0,1.0,200.0,0.0,0.0,0.2128340265879234,2.3923841750949078,0.5632717882438165,0.0021972205896898,0.0830941423361074,0.0099,0.0008,0.0007984866246766,0.0353553519848715,0.0,1.0,0.0,,,,,-52.0,100.0,,-1
0.038,0.31,0.63,0.007,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,1.09,6.869298242641608,0.8176496542057449,0.1720819532128107,0.1411130260903504,0.0046530661185645,0.001995181371029,0.0011419191774237,0.0339031798881321,0.0,1.0,0.0,,,,,-38.0,100.0,,-1
0.074,0.29,1.49,0.006,0.013,0.0471,0.0072,170.0,21.0,1.0,200.0,0.0,0.0,0.1794934760654754,1.358306689377657,0.4724704287225336,0.018,0.0830941423361074,0.0005,0.0006,0.0007737474008898,0.0078692306400687,0.0,1.0,0.0,,,,,-41.0,28.0,,-1
0.11,0.28,1.39,0.009,0.017,0.0421,0.0082,650.0,33.0,3.3,300.0,0.0,0.0,0.065,0.069,0.008,0.032,0.12,0.005,0.018,0.0005516114903005,0.005,0.0,1.0,1.0,525.0,,31.0,62.0,,,,-1
0.058,0.33,0.63,0.007,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.7947903226802495,6.426959057787452,1.1539222530318856,0.1055241240773281,0.0830941423361074,0.0052671611403632,0.007,0.0011084409281403,0.0539148572626271,0.0,1.0,0.0,386.0,465.0,33.4,78.8,-60.0,13.0,,-1
0.07,0.47,0.85,0.013,0.024,0.0421,0.012,170.0,21.0,1.8,150.0,600.0,2.1,0.0,0.0,0.0,0.01,0.0,0.008,0.0043,0.0007737474008898,0.0,0.0,1.0,0.0,,,,,,,,-1
0.094,0.18,1.05,0.013,0.017,0.0511,0.01,550.0,28.0,3.6,100.0,0.0,0.0,0.1,0.05,0.01,0.01,0.11,0.01,0.005,0.001,0.01,0.0,1.0,1.0,380.0,486.0,22.0,75.0,1.0,70.0,,-1
0.079,0.57,1.32,0.004,0.008,0.0422,0.0052,170.0,21.0,1.0,200.0,0.0,0.0,2.1221524941052974,1.358306689377657,0.4338403126222407,0.2150766789642926,0.8818309094456445,0.0038,0.061,0.0009291677391291,0.0075375952821118,0.0,1.0,0.0,,,,,-38.0,100.0,,-1
0.075,0.3,1.31,0.008,0.006,0.0441,0.0081,170.0,21.0,1.0,200.0,250.0,14.0,0.2128340265879234,1.358306689377657,0.094246206932152,0.0005,0.0830941423361074,0.0005,0.0005,0.0005,0.0005,0.0,1.0,0.0,420.0,523.0,26.4,77.0,,,,-1
0.074,0.27,1.11,0.009,0.024,0.0556,0.0113,290.0,29.0,2.0,150.0,690.0,10.0,0.17,2.3,0.96,0.018,0.1507205848771532,0.0081719301990741,0.007,0.0014601206281911,0.0100856992202528,0.0,1.0,2.0,595.0,675.0,24.0,69.0,-20.0,12.0,,-1
0.1,0.35,1.54,0.009,0.016,0.042,0.0138,650.0,33.0,3.3,300.0,600.0,0.75,0.06,0.049,0.18,0.057,0.11,0.005,0.016,8.336419182273841e-05,0.005,0.0,1.0,1.0,593.0,692.0,26.0,65.0,,,,-1
0.08,0.68,1.94,0.013,0.015,0.0132,0.0055,700.0,32.0,4.8,200.0,0.0,0.0,1.54,0.05,0.01,0.01,0.85,0.029,0.027,0.0044,0.0314994772930428,0.0,1.0,1.0,546.0,869.0,21.0,28.0,55.0,35.0,,-1
0.07,0.35,0.65,0.008,0.01,0.0504,0.0078,170.0,21.0,1.0,200.0,250.0,14.0,0.0,1.01,0.0,0.0005,0.0,0.0005,0.0005,0.0005,0.0005,0.0,0.0,0.0,481.0,559.0,22.0,75.0,-40.0,100.0,,-1
0.076,0.34,1.36,0.005,0.011,0.0476,0.0057,170.0,21.0,1.0,200.0,250.0,14.0,0.2128340265879234,2.051417543783566,0.4602504732110111,0.085790577556419,0.0830941423361074,0.0005,0.015,0.0004104076067133,2.6938970930390563e-05,0.0,1.0,0.0,437.0,527.0,24.6,78.9,,,,-1
0.07,0.32,1.48,0.005,0.006,0.0373,0.0075,170.0,21.0,1.0,200.0,250.0,14.0,0.2128340265879234,4.910681265549885,0.8295787451297518,0.068655774713986,0.0830941423361074,0.0055,0.0033973942005328,0.0003388062774805,0.0449750292337584,0.0,1.0,4.0,488.0,549.0,32.4,78.8,,,,-1
0.1,0.28,0.82,0.012,0.014,0.0258,0.0045,900.0,33.0,4.8,100.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0134227491413991,0.02,0.0013631662900678,0.0,0.0,1.0,1.0,337.0,477.0,32.6,71.0,,,,-1
0.046,0.3,0.93,0.008,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.2128340265879234,2.38,1.2570815797547326,0.018,0.0830941423361074,0.0213826357934607,0.000108930173461,0.0003646652378356,0.0230022943818222,0.0,1.0,0.0,,,,,16.0,100.0,,-1
0.08,0.25,0.8,0.01,0.01,0.0421,0.0082,525.0,30.0,1.75,210.0,700.0,20.0,0.03,2.3,1.05,0.01,0.02,0.0166663224395545,0.0140063245808978,0.001183823252089,0.0363010336113931,0.0,1.0,1.0,507.0,613.0,,,-30.0,170.0,,-1
0.042,0.28,1.37,0.007,0.012,0.0421,0.0082,170.0,21.0,2.2,200.0,0.0,0.0,0.4004348444942661,1.6624094862116623,0.5099783518947809,0.032449453864871,0.3552013466320693,0.0054203576102871,0.0088731074058704,0.0003160747530367,0.0078692306400687,0.0,1.0,0.0,,,,,-57.0,100.0,,-1
0.079,0.57,1.32,0.004,0.008,0.0422,0.0048,170.0,21.0,1.0,200.0,0.0,0.0,0.6203538142470477,1.358306689377657,0.4724704287225336,0.0005,0.3749095059248045,0.0038,0.061,0.0005,0.0005,0.0,1.0,0.0,,,,,-74.0,28.0,,-1
0.076,0.25,1.45,0.008,0.006,0.0457,0.0078,170.0,21.0,1.0,200.0,250.0,14.0,0.0,0.0,0.5,0.0005,0.0,0.0005,0.0005,0.0005,0.0005,0.0,0.0,0.0,523.0,610.0,19.4,75.0,-4.0,100.0,,-1
0.032,0.45,2.05,0.002,0.01,0.032,0.0119,180.0,23.0,1.0,250.0,0.0,0.0,0.1299792746400004,2.321020443978058,0.3196599245445554,0.0510633188739869,0.2478343726159225,0.012,0.009,0.0005934343625463,0.0347994716196061,0.0,1.0,0.0,506.0,,,,-60.0,57.0,,-1
0.065,0.34,0.97,0.007,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.0629638809505747,1.358306689377657,0.3353485367361022,0.018,0.1258320060781119,0.0011461488312719,0.0024820911917336,0.0007737474008898,0.0078692306400687,0.0,1.0,0.0,418.0,500.0,35.0,80.6,-20.0,201.0,,-1
0.071,0.39,1.36,0.005,0.009,0.0381,0.0052,170.0,21.0,1.0,200.0,250.0,14.0,0.2128340265879234,1.6796339443327764,0.7417646502788818,0.0038282869510588,0.0014207983242938,0.0092,0.016,0.0008341241931391,0.0260493023919847,0.0,1.0,0.0,481.0,545.0,30.6,81.4,,,,-1
0.037,0.29,0.6,0.006,0.009,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.2128340265879234,1.358306689377657,0.4724704287225336,0.018,0.0769134043043662,0.0085549733767797,0.0038600903634798,0.0007737474008898,0.0078692306400687,0.0,1.0,0.0,401.0,466.0,32.0,81.5,,,,-1
0.049,0.32,1.41,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,2.32,0.2717955716154326,0.0971594541319889,0.0820271652245344,0.3877703897944282,0.0156697221503008,0.020026729785304,0.0014523145580014,0.0056676780027337,0.0,1.0,0.0,567.0,635.0,23.6,72.7,,,,-1
0.047,0.42,1.0,0.015,0.016,0.0695,0.0165,300.0,28.0,2.08,150.0,690.0,10.0,0.17,2.29,1.04,0.018,0.0830941423361074,0.0124429554136034,0.007,0.0007601759492551,0.0048173913674118,0.0,1.0,2.0,537.0,620.0,11.0,24.0,-40.0,12.0,,-1
0.071,0.4,0.64,0.008,0.006,0.0411,0.0088,170.0,21.0,1.0,200.0,0.0,0.0,1.5122893143253515,1.4884865117347497,0.6170936298604484,0.0435,0.0830941423361074,0.0036,0.0005,0.0005,0.0005,0.0,1.0,0.0,,,,,-43.0,100.0,,-1
0.07,0.33,0.64,0.007,0.004,0.0413,0.0085,170.0,21.0,1.0,200.0,0.0,0.0,0.2128340265879234,2.1313503637366216,0.6083922895920213,0.0007,0.0932698482129123,0.0042,0.0005,0.0005,0.045,0.0,1.0,0.0,,,,,-7.0,100.0,,-1
0.076,0.27,1.48,0.007,0.008,0.0454,0.0081,170.0,21.0,1.0,200.0,250.0,14.0,0.0,0.0,0.0,0.0005,0.53,0.0022,0.0005,0.0005,0.0005,0.0,0.0,0.0,495.0,557.0,27.6,78.9,-57.0,100.0,,-1
0.11,0.27,1.47,0.008,0.012,0.048,0.0139,650.0,33.0,3.3,300.0,600.0,0.75,0.07,0.054,0.22,0.095,0.072,0.005,0.022,0.0005433822570308,0.005,0.0,1.0,1.0,648.0,735.0,25.0,65.0,,,,-1
0.044,0.32,1.45,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,0.24,0.0084697436038695,0.0242001002495356,0.1930277482225537,0.0114953735587597,0.007,0.0007412392253259,0.0034573968978377,0.0,1.0,0.0,468.0,559.0,28.0,76.9,,,,-1
0.055,0.35,1.93,0.007,0.011,0.0421,0.0082,170.0,21.0,0.6,200.0,250.0,14.0,0.2128340265879234,1.9205469980955925,0.4724704287225336,0.0254584614867498,0.0830941423361074,0.0059729219396102,0.007,0.0007737474008898,0.0018343368644485,0.0,1.0,0.0,587.0,633.0,24.2,76.9,,,,-1
0.11,0.36,2.18,0.008,0.011,0.0342,0.0074,180.0,23.0,1.0,250.0,0.0,0.0,0.6093897038495427,2.0430677038626484,0.8165834728466375,0.018,0.0830941423361074,0.012,0.003,0.0011272949620446,0.0052166667549792,0.0,1.0,0.0,617.0,,,,-60.0,52.0,,-1
0.06,0.32,1.23,0.002,0.002,0.038,0.008,163.0,25.0,1.2,175.0,740.0,2.0,1.01,8.4,0.89,0.22,0.01,0.01,0.01,0.0032384262816286,0.03,0.0,1.0,0.0,,,,,,,266.0,-1
0.075,0.36,1.48,0.007,0.006,0.039,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,0.2128340265879234,0.8859774799825517,0.3795176331426029,0.0028261685277855,0.11,0.004,0.026503148918244,0.0002180240439415,0.0257499156077974,0.0,1.0,0.0,462.0,548.0,29.8,77.9,,,,-1
0.077,0.29,1.76,0.007,0.007,0.0396,0.0081,170.0,21.0,1.0,200.0,580.0,2.0,1.8137976121162973,1.981240414863552,0.6498622630011202,0.0005,0.482318639382635,0.0105,0.0005,0.0005,0.0005,0.0,1.0,0.0,429.0,532.0,27.4,78.9,-57.0,100.0,,-1
0.03,0.45,0.78,0.013,0.01,0.0336,0.0095,180.0,23.0,1.0,250.0,0.0,0.0,0.6600974954049056,5.899018634380184,1.3573680096229983,0.0956985575553659,0.1961313640736889,0.014,0.009,0.0021003038266062,0.0483248513729356,0.0,1.0,0.0,408.0,,,,-60.0,5.0,,-1
0.11,0.33,1.41,0.019,0.023,0.0421,0.0082,450.0,30.0,1.9,300.0,0.0,0.0,0.065,0.082,0.016,0.0622601442050908,0.19,0.0068648204586664,0.024,0.0018449651041213,0.018,0.0,1.0,1.0,420.0,560.0,25.0,,,,,-1
0.079,0.29,1.79,0.006,0.007,0.0406,0.0105,170.0,21.0,1.0,200.0,0.0,0.0,0.2128340265879234,2.2966921676815417,0.5485737658286443,0.0004,0.221782666966845,0.0033,0.0005,0.0005,0.0895,0.0,1.0,0.0,,,,,-6.0,100.0,,-1
0.072,0.24,1.32,0.006,0.008,0.0397,0.0068,170.0,21.0,1.0,200.0,0.0,0.0,1.2245810484939952,9.070486053095165,1.696122703863784,0.1880509936360466,0.0924326206310602,0.018,0.0047,0.0023534914745398,0.0349782312374439,0.0,1.0,0.0,,,,,-35.0,100.0,,-1
0.095,0.35,0.9,0.008,0.02,0.0269,0.0054,450.0,30.0,2.025,250.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0152742154734588,0.017,0.0007737474008898,0.0,0.0,1.0,1.0,394.0,496.0,34.2,78.0,,,,-1
0.076,0.37,1.36,0.005,0.009,0.0422,0.0054,170.0,21.0,1.0,200.0,0.0,0.0,0.1548674476407455,1.358306689377657,0.4885656833753687,0.0005,0.2456993995365209,0.0036,0.019,0.0005,0.0005,0.0,1.0,0.0,,,,,-58.0,100.0,,-1
0.13,0.17,0.73,0.003,0.008,0.0421,0.0082,450.0,26.0,2.8,225.0,690.0,14.0,0.06,2.3,1.0,0.021,0.08,0.001,0.014,0.0007737474008898,0.001,0.0,1.0,5.0,437.0,585.0,23.0,,,,,-1
0.1,0.42,0.91,0.004,0.008,0.039,0.041,146.0,22.0,1.1,200.0,760.0,8.0,0.17,8.9,0.98,0.21,0.03,1e-06,1e-06,0.0028168510084703,0.09,0.0,1.0,0.0,,,,,40.0,83.0,,-1
0.077,0.26,1.36,0.007,0.007,0.041,0.0079,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,3.504745262190048,1.0991178974167035,0.0425,0.0830941423361074,0.0029,0.0005,0.0005,0.0005,0.0,1.0,0.0,526.0,594.0,26.0,76.0,-62.0,100.0,,-1
0.043,0.31,0.95,0.007,0.01,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.9162619390339192,0.53,0.4727064593288871,0.0418621274649609,0.4406013451427191,0.0021104104552184,0.0243441981997738,0.0008137870589973,0.0119426736434675,0.0,1.0,0.0,460.0,536.0,28.8,77.0,-35.0,100.0,,-1
0.055,0.48,1.62,0.011,0.021,0.0371,0.0093,170.0,21.0,1.8,100.0,250.0,16.0,0.02,4.563995708375124,0.54,0.0863243962152908,0.02,0.0059729219396102,0.0021941748559479,0.0001693793090616,0.0410282741242874,0.0,1.0,0.0,673.0,737.0,,,,,,-1
0.071,0.36,1.46,0.004,0.006,0.04,0.0085,170.0,21.0,1.0,200.0,0.0,0.0,0.2128340265879234,5.522626334088906,0.5837219372506912,0.1205796476791367,0.0830941423361074,0.0022,0.007,0.0013325410311934,0.0150226718231709,0.0,1.0,4.0,,,,,-82.0,28.0,,-1
0.053,0.35,1.83,0.007,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.06,1.9424332403954676,0.1726670862368716,0.0563627332302557,0.0464086256174721,0.0139455662378265,0.0119726793699694,0.0014187304206731,0.0252113281661791,0.0,1.0,0.0,521.0,612.0,26.0,74.0,1.0,100.0,,-1
